Method,Name,chair_PSNR,chair_SSIM,chair_L1,drums_PSNR,drums_SSIM,drums_L1,ficus_PSNR,ficus_SSIM,ficus_L1,hotdog_PSNR,hotdog_SSIM,hotdog_L1,lego_PSNR,lego_SSIM,lego_L1,materials_PSNR,materials_SSIM,materials_L1,mic_PSNR,mic_SSIM,mic_L1,ship_PSNR,ship_SSIM,ship_L1,Avg_PSNR,Avg_SSIM,Avg_L1
cat,exp1_cat3_3_levels,-,-,-,31.42,0.9817,0.006745,39.23,0.9951,0.002765,40.94,0.9917,0.002953,-,-,-,37.38,0.9895,0.003914,40.29,0.9970,0.001948,34.36,0.9447,0.008996,37.27,0.9833,0.004554
cat,exp1_cat4_4_levels,-,-,-,31.59,0.9819,0.006513,38.89,0.9948,0.002906,40.73,0.9914,0.003105,40.22,0.9919,0.003342,37.00,0.9884,0.004086,40.34,0.9969,0.001898,34.64,0.9405,0.008513,37.63,0.9837,0.004338
cat,exp1_cat5_5_levels,-,-,-,31.30,0.9804,0.006928,38.95,0.9947,0.002844,40.59,0.9908,0.003052,39.86,0.9911,0.003501,35.58,0.9855,0.004815,40.02,0.9967,0.001965,34.05,0.9302,0.008949,37.19,0.9813,0.004579
cat,exp1_cat6_6_levels,-,-,-,31.32,0.9787,0.006884,38.49,0.9939,0.003020,39.73,0.9883,0.003380,38.36,0.9873,0.004112,34.30,0.9811,0.005231,38.76,0.9957,0.002262,33.11,0.9156,0.010024,36.30,0.9772,0.004988
cat,fixc2f_5_levels,39.01,0.9937,0.003274,-,-,-,-,-,-,-,-,-,39.61,0.9909,0.003607,-,-,-,-,-,-,-,-,-,39.31,0.9923,0.003440
cat,no2f_5_levels,39.13,0.9938,0.003194,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39.13,0.9938,0.003194
cat,no2fmc1e5ns001sc001op_5_levels,-,-,-,-,-,-,-,-,-,40.31,0.9903,0.003052,-,-,-,-,-,-,-,-,-,-,-,-,40.31,0.9903,0.003052
cat,no2fmc1e5ns001sc002op_5_levels,37.87,0.9921,0.003685,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.87,0.9921,0.003685
cat,no2fmcmc1e5ns001sc_5_levels,39.94,0.9945,0.002911,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39.94,0.9945,0.002911
cat,no2fmcmc1e5ns001scop_5_levels,38.40,0.9926,0.003414,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.40,0.9926,0.003414
cat,no2fmcmc1e5ns001scoprune_5_levels,38.45,0.9926,0.003425,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.45,0.9926,0.003425
cat,no2fmcmc1e5ns001yscoprune_5_levels,38.64,0.9928,0.003333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.64,0.9928,0.003333
cat,no2fmcmc_2_levels,11.14,0.7794,0.121184,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.14,0.7794,0.121184
cat,no2fmcmc_5_levels,39.63,0.9943,0.003090,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39.63,0.9943,0.003090
cat,no2fmcmcsreg_5_levels,39.51,0.9942,0.003068,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39.51,0.9942,0.003068
cat,noc2f_cat0_0_levels,37.96,0.9931,0.003771,30.70,0.9794,0.007294,38.27,0.9946,0.003164,40.40,0.9913,0.003017,39.86,0.9919,0.003407,-,-,-,-,-,-,-,-,-,37.44,0.9901,0.004131
cat,noc2f_cat1_1_levels,39.68,0.9947,0.003054,31.39,0.9822,0.006710,38.95,0.9954,0.002931,41.14,0.9920,0.002845,40.73,0.9929,0.003153,-,-,-,-,-,-,-,-,-,38.38,0.9914,0.003739
cat,noc2f_cat2_2_levels,39.75,0.9948,0.002953,31.46,0.9824,0.006668,38.20,0.9946,0.003249,41.17,0.9920,0.002802,40.78,0.9929,0.003131,-,-,-,-,-,-,-,-,-,38.27,0.9913,0.003761
cat,noc2f_cat3_3_levels,39.55,0.9945,0.003127,31.36,0.9816,0.006749,38.82,0.9949,0.002982,40.99,0.9917,0.002893,40.77,0.9927,0.003106,-,-,-,-,-,-,-,-,-,38.30,0.9911,0.003771
cat,noc2f_cat4_4_levels,39.61,0.9943,0.002987,31.51,0.9817,0.006600,38.43,0.9946,0.003113,40.75,0.9913,0.002988,40.24,0.9920,0.003401,-,-,-,-,-,-,-,-,-,38.11,0.9908,0.003818
cat,noc2f_cat5_5_levels,38.80,0.9936,0.003362,31.48,0.9806,0.006921,38.74,0.9946,0.002944,40.57,0.9908,0.003025,39.90,0.9911,0.003463,-,-,-,-,-,-,-,-,-,37.90,0.9901,0.003943
cat,noc2f_cat6_6_levels,37.71,0.9914,0.003903,31.03,0.9779,0.007256,38.10,0.9938,0.003198,39.83,0.9883,0.003323,38.80,0.9879,0.003803,-,-,-,-,-,-,-,-,-,37.09,0.9879,0.004297
cat,nocfmcmc001op001sc1e5ns_cat0_0_levels,38.45,0.9935,0.003475,30.66,0.9792,0.007288,17.40,0.8488,0.042735,40.65,0.9915,0.002890,39.80,0.9921,0.003559,15.69,0.7408,0.067275,17.80,0.8654,0.039276,34.64,0.9519,0.008173,29.39,0.9204,0.021834
cat,nocfmcmc001op001sc1e5ns_cat1_1_levels,39.39,0.9942,0.003036,31.29,0.9816,0.006759,38.18,0.9931,0.003177,41.00,0.9919,0.002947,40.84,0.9929,0.003117,37.39,0.9906,0.003934,17.80,0.8654,0.039275,35.25,0.9531,0.007753,35.14,0.9703,0.008750
cat,nocfmcmc001op001sc1e5ns_cat2_2_levels,38.91,0.9941,0.003405,31.31,0.9815,0.006691,38.79,0.9933,0.002852,41.05,0.9918,0.002815,40.48,0.9926,0.003307,37.84,0.9908,0.003725,17.80,0.8654,0.039275,35.13,0.9509,0.007939,35.16,0.9701,0.008751
cat,nocfmcmc001op001sc1e5ns_cat3_3_levels,38.91,0.9939,0.003353,31.47,0.9819,0.006611,17.40,0.8488,0.042734,40.76,0.9915,0.002948,40.67,0.9926,0.003180,37.45,0.9900,0.003781,17.80,0.8654,0.039275,34.92,0.9464,0.008169,32.42,0.9513,0.013756
cat,nocfmcmc001op001sc1e5ns_cat4_4_levels,38.84,0.9936,0.003273,31.37,0.9809,0.006750,17.40,0.8488,0.042735,40.53,0.9910,0.003028,40.65,0.9924,0.003190,36.53,0.9884,0.004186,17.80,0.8654,0.039276,34.15,0.9383,0.009022,32.16,0.9498,0.013933
cat,nocfmcmc001op001sc1e5ns_cat5_5_levels,38.35,0.9928,0.003569,11.71,0.7264,0.113944,17.40,0.8488,0.042736,39.93,0.9903,0.003327,40.32,0.9919,0.003325,15.69,0.7408,0.067283,17.80,0.8654,0.039276,33.82,0.9323,0.009291,26.88,0.8861,0.035344
cat,nocfmcmc001op001sc1e5ns_cat6_6_levels,11.14,0.7794,0.121189,11.71,0.7264,0.113946,17.40,0.8488,0.042737,40.15,0.9894,0.003130,39.77,0.9909,0.003560,15.69,0.7407,0.067294,17.80,0.8654,0.039276,32.92,0.9205,0.009801,23.32,0.8577,0.050117
cat,rbgc2ftest_5_levels,36.83,0.9914,0.003904,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36.83,0.9914,0.003904
cat,retryingwarmcleanyesloadvarpathsan_3_levels,-,-,-,-,-,-,39.20,0.9953,0.002818,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39.20,0.9953,0.002818
cat,test_cat_padded_3_levels,-,-,-,-,-,-,38.97,0.9952,0.002860,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.97,0.9952,0.002860
diffuse,c2ftest,-,-,-,27.04,0.9610,0.012072,32.01,0.9806,0.006258,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.52,0.9708,0.009165
diffuse,c2ftest2,34.35,0.9828,0.005628,26.74,0.9576,0.012817,-,-,-,34.64,0.9767,0.006847,-,-,-,-,-,-,-,-,-,-,-,-,31.91,0.9724,0.008431
diffuse_ngp,c2ftest2,37.04,0.9899,0.004003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.04,0.9899,0.004003
diffuse_ngp,c2ftest2median,36.80,0.9888,0.004079,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36.80,0.9888,0.004079
diffuse_ngp,c2ftest2medianfr,36.92,0.9890,0.004061,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36.92,0.9890,0.004061
diffuse_ngp,correctmedianfr,34.59,0.9835,0.005450,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.59,0.9835,0.005450
diffuse_ngp,correctmedianfrnoc2f,37.09,0.9897,0.003939,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.09,0.9897,0.003939
diffuse_ngp,correctmedianfrnoc2fbgfix,35.44,0.9855,0.004744,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.44,0.9855,0.004744
diffuse_offset,xyzmedianfr,35.25,0.9842,0.005189,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.25,0.9842,0.005189
specular,c2ftest2,37.24,0.9904,0.003665,28.70,0.9699,0.009312,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.97,0.9801,0.006489
