Method,Name,chair_PSNR,chair_SSIM,chair_L1,drums_PSNR,drums_SSIM,drums_L1,ficus_PSNR,ficus_SSIM,ficus_L1,hotdog_PSNR,hotdog_SSIM,hotdog_L1,lego_PSNR,lego_SSIM,lego_L1,materials_PSNR,materials_SSIM,materials_L1,mic_PSNR,mic_SSIM,mic_L1,ship_PSNR,ship_SSIM,ship_L1,Avg_PSNR,Avg_SSIM,Avg_L1
adaptive_zero,bgretry61012ren001zclone,34.22,0.9824,0.005310,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.22,0.9824,0.005310
adaptive_zero,bgretry61012ren001zclonetemp,34.26,0.9823,0.005380,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.26,0.9823,0.005380
adaptive_zero,bgretry61012ren001zclonetemp1530,33.65,0.9810,0.005744,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33.65,0.9810,0.005744
adaptive_zero,bgretry61012ren005z,34.04,0.9821,0.005387,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.04,0.9821,0.005387
adaptive_zero,bgretry61012ren0z,32.58,0.9758,0.006675,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.58,0.9758,0.006675
adaptive_zero,bgretry61012ren0zclone,32.67,0.9752,0.006560,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.67,0.9752,0.006560
adaptive_zero,gatingbetter,33.94,0.9823,0.005486,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33.94,0.9823,0.005486
adaptive_zero,gatingbetternoreg,32.93,0.9772,0.006273,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.93,0.9772,0.006273
adaptive_zero,mc1012ren001zclone,23.14,0.8955,0.020438,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.14,0.8955,0.020438
baseline,bcemc001op001sc1e4ns_baseline,38.49,0.9931,0.003436,30.67,0.9790,0.007447,38.39,0.9940,0.003008,40.57,0.9913,0.002907,39.03,0.9911,0.003967,36.86,0.9897,0.004116,-,-,-,34.77,0.9521,0.008092,36.97,0.9843,0.004710
baseline,dec2ftest_baseline,38.60,0.9933,0.003380,30.75,0.9796,0.007217,38.67,0.9947,0.002992,40.37,0.9913,0.003020,39.98,0.9921,0.003380,-,-,-,-,-,-,-,-,-,37.67,0.9902,0.003998
baseline,exp1_baseline,38.39,0.9933,0.003578,30.76,0.9794,0.007371,38.09,0.9944,0.003288,40.01,0.9909,0.003136,39.81,0.9920,0.003346,36.67,0.9895,0.003931,39.53,0.9965,0.002030,35.12,0.9524,0.007880,37.30,0.9860,0.004320
baseline,no2f,38.62,0.9933,0.003455,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.62,0.9933,0.003455
baseline,no2fmc1e5ns005op,38.38,0.9933,0.003624,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.38,0.9933,0.003624
baseline,no2fmcmc1e5ns001scoprune,38.45,0.9936,0.003534,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.45,0.9936,0.003534
baseline,noc2f_baseline,38.54,0.9933,0.003434,30.57,0.9789,0.007477,37.59,0.9944,0.003461,40.45,0.9913,0.002945,39.82,0.9919,0.003498,36.27,0.9889,0.004450,-,-,-,35.16,0.9523,0.007905,36.91,0.9844,0.004739
baseline,nocfmcmc001op001sc1e4nslmcbce,38.49,0.9932,0.003403,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.49,0.9932,0.003403
baseline,nocfmcmc001op001sc1e5ns_baseline,38.82,0.9937,0.003269,30.74,0.9795,0.007222,17.40,0.8488,0.042731,40.34,0.9913,0.003237,39.39,0.9916,0.003852,37.07,0.9899,0.003909,-,-,-,34.47,0.9514,0.008293,34.03,0.9637,0.010359
cat,bcemc001op001sc1e4ns_cat0_0_levels,38.75,0.9938,0.003400,30.76,0.9798,0.007288,38.46,0.9938,0.003036,40.83,0.9916,0.002923,39.18,0.9913,0.003951,37.61,0.9904,0.003721,17.80,0.8654,0.039275,34.86,0.9534,0.008101,34.78,0.9699,0.008962
cat,bcemc001op001sc1e4ns_cat1_1_levels,39.42,0.9943,0.003033,31.22,0.9813,0.006948,37.99,0.9930,0.003233,40.95,0.9918,0.002911,39.59,0.9918,0.003785,38.13,0.9912,0.003571,40.51,0.9969,0.001906,35.09,0.9545,0.008033,37.86,0.9869,0.004177
cat,bcemc001op001sc1e4ns_cat2_2_levels,39.15,0.9942,0.003173,31.33,0.9816,0.006868,38.81,0.9936,0.002826,40.88,0.9916,0.002954,40.46,0.9924,0.003252,38.02,0.9907,0.003650,40.25,0.9967,0.001946,34.99,0.9516,0.008208,37.99,0.9866,0.004110
cat,bcemc001op001sc1e4ns_cat3_3_levels,39.15,0.9939,0.003176,31.27,0.9813,0.006825,38.45,0.9934,0.002990,40.66,0.9913,0.002995,39.94,0.9918,0.003525,37.69,0.9900,0.003781,17.80,0.8654,0.039272,34.72,0.9461,0.008416,34.96,0.9691,0.008873
cat,bcemc001op001sc1e4ns_cat4_4_levels,38.72,0.9933,0.003368,31.18,0.9805,0.006879,38.58,0.9934,0.002886,40.34,0.9907,0.003137,39.95,0.9916,0.003495,36.82,0.9885,0.004196,17.80,0.8654,0.039274,34.43,0.9399,0.008674,34.73,0.9679,0.008989
cat,bcemc001op001sc1e4ns_cat5_5_levels,38.34,0.9924,0.003446,30.92,0.9792,0.007131,38.25,0.9933,0.003030,39.80,0.9898,0.003416,39.68,0.9908,0.003600,36.20,0.9870,0.004270,17.80,0.8654,0.039275,33.15,0.9279,0.009771,34.27,0.9657,0.009242
cat,bcemc001op001sc1e4ns_cat6_6_levels,37.04,0.9886,0.004301,31.46,0.9794,0.006734,37.48,0.9924,0.003392,39.14,0.9868,0.003500,39.21,0.9895,0.003747,34.87,0.9839,0.004747,17.80,0.8654,0.039276,32.74,0.9182,0.009812,33.72,0.9630,0.009439
cat,bgretry2_5_levels,35.78,0.9891,0.004345,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.78,0.9891,0.004345
cat,bgretry3_5_levels,35.88,0.9890,0.004352,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.88,0.9890,0.004352
cat,bgretry4_5_levels,36.17,0.9899,0.004294,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36.17,0.9899,0.004294
cat,bgretry5_5_levels,35.75,0.9890,0.004500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.75,0.9890,0.004500
cat,bgretry_5_levels,35.80,0.9889,0.004408,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.80,0.9889,0.004408
cat,c2ftest_2_levels,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.21,0.9970,0.001990,-,-,-,40.21,0.9970,0.001990
cat,c2ftest_3_levels,-,-,-,-,-,-,38.86,0.9949,0.002955,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.86,0.9949,0.002955
cat,dec2ftest_cat0_0_levels,-,-,-,30.69,0.9794,0.007353,38.63,0.9948,0.003013,40.28,0.9911,0.003124,38.82,0.9912,0.004119,-,-,-,-,-,-,-,-,-,37.11,0.9891,0.004402
cat,dec2ftest_cat1_1_levels,-,-,-,31.42,0.9819,0.006648,39.03,0.9952,0.002865,41.18,0.9921,0.002774,40.69,0.9928,0.003128,-,-,-,-,-,-,-,-,-,38.08,0.9905,0.003854
cat,dec2ftest_cat2_2_levels,-,-,-,31.35,0.9817,0.006894,38.55,0.9948,0.003095,41.26,0.9921,0.002804,40.89,0.9930,0.003025,-,-,-,-,-,-,-,-,-,38.01,0.9904,0.003954
cat,dec2ftest_cat3_3_levels,-,-,-,31.54,0.9820,0.006678,38.26,0.9945,0.003233,40.90,0.9917,0.002949,40.68,0.9927,0.003183,-,-,-,-,-,-,-,-,-,37.84,0.9902,0.004011
cat,dec2ftest_cat4_4_levels,-,-,-,31.51,0.9817,0.006660,38.70,0.9947,0.003000,40.66,0.9913,0.003132,39.35,0.9914,0.003897,-,-,-,-,-,-,-,-,-,37.55,0.9898,0.004172
cat,dec2ftest_cat5_5_levels,-,-,-,31.60,0.9809,0.006616,38.62,0.9944,0.003028,40.38,0.9908,0.003180,39.78,0.9911,0.003553,-,-,-,-,-,-,-,-,-,37.59,0.9893,0.004094
cat,dec2ftest_cat6_6_levels,-,-,-,31.15,0.9784,0.007109,38.44,0.9939,0.003077,39.75,0.9883,0.003309,-,-,-,-,-,-,-,-,-,-,-,-,36.45,0.9869,0.004498
cat,exp1_cat0_0_levels,-,-,-,30.65,0.9794,0.007286,38.57,0.9948,0.003023,40.32,0.9912,0.003034,38.82,0.9911,0.004137,36.80,0.9894,0.004169,39.30,0.9964,0.002094,35.20,0.9530,0.007816,37.09,0.9850,0.004508
cat,exp1_cat1_1_levels,-,-,-,31.37,0.9819,0.006678,39.58,0.9955,0.002618,40.72,0.9920,0.003029,40.59,0.9929,0.003131,37.23,0.9901,0.004099,39.97,0.9968,0.002018,34.90,0.9520,0.008259,37.77,0.9859,0.004262
cat,exp1_cat2_2_levels,-,-,-,31.60,0.9823,0.006552,38.74,0.9950,0.003022,41.07,0.9920,0.002883,40.72,0.9929,0.003138,37.37,0.9898,0.004115,40.59,0.9971,0.001898,34.85,0.9506,0.008249,37.85,0.9857,0.004265
cat,exp1_cat3_3_levels,-,-,-,31.42,0.9817,0.006745,39.23,0.9951,0.002765,40.94,0.9917,0.002953,-,-,-,37.38,0.9895,0.003914,40.29,0.9970,0.001948,34.36,0.9447,0.008996,37.27,0.9833,0.004554
cat,exp1_cat4_4_levels,-,-,-,31.59,0.9819,0.006513,38.89,0.9948,0.002906,40.73,0.9914,0.003105,40.22,0.9919,0.003342,37.00,0.9884,0.004086,40.34,0.9969,0.001898,34.64,0.9405,0.008513,37.63,0.9837,0.004338
cat,exp1_cat5_5_levels,-,-,-,31.30,0.9804,0.006928,38.95,0.9947,0.002844,40.59,0.9908,0.003052,39.86,0.9911,0.003501,35.58,0.9855,0.004815,40.02,0.9967,0.001965,34.05,0.9302,0.008949,37.19,0.9813,0.004579
cat,exp1_cat6_6_levels,-,-,-,31.32,0.9787,0.006884,38.49,0.9939,0.003020,39.73,0.9883,0.003380,38.36,0.9873,0.004112,34.30,0.9811,0.005231,38.76,0.9957,0.002262,33.11,0.9156,0.010024,36.30,0.9772,0.004988
cat,fixc2f_5_levels,-,-,-,-,-,-,-,-,-,-,-,-,39.61,0.9909,0.003607,-,-,-,-,-,-,-,-,-,39.61,0.9909,0.003607
cat,mc001op001sc1e5ns_5_levels,-,-,-,-,-,-,34.19,0.9847,0.004986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.19,0.9847,0.004986
cat,mc1e4n001sc001opbg_5_levels,-,-,-,-,-,-,35.42,0.9872,0.004225,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.42,0.9872,0.004225
cat,no2fmc1e5ns001sc001op_5_levels,-,-,-,-,-,-,-,-,-,40.31,0.9903,0.003052,-,-,-,-,-,-,-,-,-,-,-,-,40.31,0.9903,0.003052
cat,no2fmcmc1e3ns001sc001oprune_5_levels,-,-,-,-,-,-,38.69,0.9947,0.003019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.69,0.9947,0.003019
cat,no2fmcmc1e4ns001sc002oprune_5_levels,-,-,-,-,-,-,38.34,0.9937,0.003117,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.34,0.9937,0.003117
cat,no2fmcmc1e4ns001sc005oprune_5_levels,-,-,-,-,-,-,37.33,0.9924,0.003613,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.33,0.9924,0.003613
cat,no2fmcmc1e5ns001yscoprune_5_levels,38.64,0.9928,0.003333,-,-,-,38.82,0.9942,0.002893,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.73,0.9935,0.003113
cat,noc2f_cat0_0_levels,37.96,0.9931,0.003771,30.70,0.9794,0.007294,38.27,0.9946,0.003164,40.40,0.9913,0.003017,39.86,0.9919,0.003407,36.59,0.9894,0.004089,39.31,0.9964,0.002159,35.01,0.9520,0.007995,37.26,0.9860,0.004362
cat,noc2f_cat1_1_levels,39.68,0.9947,0.003054,31.39,0.9822,0.006710,38.95,0.9954,0.002931,41.14,0.9920,0.002845,40.73,0.9929,0.003153,37.80,0.9910,0.003760,40.71,0.9971,0.001839,35.52,0.9542,0.007708,38.24,0.9874,0.004000
cat,noc2f_cat2_2_levels,39.75,0.9948,0.002953,31.46,0.9824,0.006668,38.20,0.9946,0.003249,41.17,0.9920,0.002802,40.78,0.9929,0.003131,37.21,0.9901,0.004194,40.66,0.9971,0.001851,35.49,0.9521,0.007689,38.09,0.9870,0.004067
cat,noc2f_cat3_3_levels,39.55,0.9945,0.003127,31.36,0.9816,0.006749,38.82,0.9949,0.002982,40.99,0.9917,0.002893,40.77,0.9927,0.003106,36.92,0.9892,0.004201,40.63,0.9971,0.001856,34.68,0.9455,0.008682,37.97,0.9859,0.004200
cat,noc2f_cat4_4_levels,39.61,0.9943,0.002987,31.51,0.9817,0.006600,38.43,0.9946,0.003113,40.75,0.9913,0.002988,40.24,0.9920,0.003401,36.52,0.9878,0.004340,40.39,0.9969,0.001899,34.57,0.9403,0.008579,37.75,0.9849,0.004238
cat,noc2f_cat5_5_levels,38.80,0.9936,0.003362,31.48,0.9806,0.006921,38.74,0.9946,0.002944,40.57,0.9908,0.003025,39.90,0.9911,0.003463,35.34,0.9855,0.005075,39.91,0.9967,0.002010,33.70,0.9297,0.009907,37.30,0.9828,0.004588
cat,noc2f_cat6_6_levels,37.71,0.9914,0.003903,31.03,0.9779,0.007256,38.10,0.9938,0.003198,39.83,0.9883,0.003323,38.80,0.9879,0.003803,34.30,0.9811,0.005210,38.88,0.9958,0.002218,32.93,0.9145,0.010336,36.45,0.9788,0.004906
cat,nocfmcmc001op001sc1e3nslmcbce02_5_levels,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39.19,0.9959,0.002185,-,-,-,39.19,0.9959,0.002185
cat,nocfmcmc001op001sc1e4nslmcbce02_5_levels,-,-,-,-,-,-,-,-,-,39.73,0.9895,0.003326,-,-,-,-,-,-,-,-,-,-,-,-,39.73,0.9895,0.003326
cat,nocfmcmc001op001sc1e4nslmcbce05_5_levels,-,-,-,-,-,-,-,-,-,39.33,0.9889,0.003533,-,-,-,-,-,-,-,-,-,-,-,-,39.33,0.9889,0.003533
cat,nocfmcmc001op001sc1e4nslmcbce10k_5_levels,-,-,-,31.38,0.9806,0.006767,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31.38,0.9806,0.006767
cat,nocfmcmc001op001sc1e4nslmcbce_5_levels,-,-,-,31.28,0.9801,0.006760,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31.28,0.9801,0.006760
cat,nocfmcmc001op001sc1e5ns_5_levels,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36.45,0.9882,0.004286,-,-,-,-,-,-,36.45,0.9882,0.004286
cat,nocfmcmc001op001sc1e5ns_cat0_0_levels,38.45,0.9935,0.003475,30.66,0.9792,0.007288,17.40,0.8488,0.042735,40.65,0.9915,0.002890,39.80,0.9921,0.003559,15.69,0.7408,0.067275,17.80,0.8654,0.039276,34.64,0.9519,0.008173,29.39,0.9204,0.021834
cat,nocfmcmc001op001sc1e5ns_cat1_1_levels,39.39,0.9942,0.003036,31.29,0.9816,0.006759,38.18,0.9931,0.003177,41.00,0.9919,0.002947,40.84,0.9929,0.003117,37.39,0.9906,0.003934,17.80,0.8654,0.039275,35.25,0.9531,0.007753,35.14,0.9704,0.008750
cat,nocfmcmc001op001sc1e5ns_cat2_2_levels,38.91,0.9941,0.003405,31.31,0.9815,0.006691,38.79,0.9933,0.002852,41.05,0.9918,0.002815,40.48,0.9926,0.003307,37.84,0.9908,0.003725,17.80,0.8654,0.039275,35.13,0.9509,0.007939,35.16,0.9700,0.008751
cat,nocfmcmc001op001sc1e5ns_cat3_3_levels,38.91,0.9939,0.003353,31.47,0.9819,0.006611,17.40,0.8488,0.042734,40.76,0.9915,0.002948,40.67,0.9926,0.003180,37.45,0.9900,0.003781,17.80,0.8654,0.039275,34.92,0.9464,0.008169,32.42,0.9513,0.013756
cat,nocfmcmc001op001sc1e5ns_cat4_4_levels,38.84,0.9936,0.003273,31.37,0.9809,0.006750,17.40,0.8488,0.042735,40.53,0.9910,0.003028,40.65,0.9924,0.003190,36.53,0.9884,0.004186,17.80,0.8654,0.039276,34.15,0.9383,0.009022,32.16,0.9498,0.013933
cat,nocfmcmc001op001sc1e5ns_cat5_5_levels,38.35,0.9928,0.003569,11.71,0.7264,0.113944,17.40,0.8488,0.042736,39.93,0.9903,0.003327,40.32,0.9919,0.003325,-,-,-,17.80,0.8654,0.039276,33.82,0.9323,0.009291,28.48,0.9068,0.030781
cat,nocfmcmc001op001sc1e5ns_cat6_6_levels,11.14,0.7794,0.121189,11.71,0.7264,0.113946,17.40,0.8488,0.042737,40.15,0.9894,0.003130,39.77,0.9909,0.003560,15.69,0.7407,0.067294,17.80,0.8654,0.039276,32.92,0.9205,0.009801,23.32,0.8577,0.050117
cat,nocfmcmc001op001sc1e5nslmc_5_levels,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36.44,0.9881,0.004188,-,-,-,-,-,-,36.44,0.9881,0.004188
cat,nocfmcmc003op001sc1e4ns_5_levels,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.60,0.9858,0.004819,-,-,-,-,-,-,35.60,0.9858,0.004819
cat,retryingwarmcleanyesloadvarpathsan_3_levels,-,-,-,-,-,-,39.20,0.9953,0.002818,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39.20,0.9953,0.002818
cat,test_cat_padded_3_levels,-,-,-,-,-,-,38.97,0.9952,0.002860,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.97,0.9952,0.002860
cat,vanillanorbg_5_levels,-,-,-,-,-,-,38.76,0.9945,0.002962,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.76,0.9945,0.002962
cat,vanillarbg_5_levels,-,-,-,-,-,-,34.09,0.9843,0.004816,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.09,0.9843,0.004816
cat,vanillarbgfix_5_levels,-,-,-,-,-,-,34.05,0.9845,0.004850,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.05,0.9845,0.004850
diffuse,c2ftest,-,-,-,27.04,0.9610,0.012072,32.01,0.9806,0.006258,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.52,0.9708,0.009165
diffuse,c2ftest2,34.35,0.9828,0.005628,26.74,0.9576,0.012817,-,-,-,34.64,0.9767,0.006847,-,-,-,-,-,-,-,-,-,-,-,-,31.91,0.9724,0.008431
diffuse_ngp,c2ftest2,37.04,0.9899,0.004003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.04,0.9899,0.004003
diffuse_ngp,c2ftest2median,36.80,0.9888,0.004079,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36.80,0.9888,0.004079
diffuse_ngp,c2ftest2medianfr,36.92,0.9890,0.004061,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36.92,0.9890,0.004061
diffuse_ngp,correctmedianfr,34.59,0.9835,0.005450,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.59,0.9835,0.005450
diffuse_ngp,correctmedianfrnoc2f,37.09,0.9897,0.003939,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.09,0.9897,0.003939
diffuse_ngp,correctmedianfrnoc2fbgfix,35.44,0.9855,0.004744,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.44,0.9855,0.004744
diffuse_offset,xyzmedianfr,35.25,0.9842,0.005189,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.25,0.9842,0.005189
specular,c2ftest2,37.24,0.9904,0.003665,28.70,0.9699,0.009312,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.97,0.9801,0.006489
